序号,产品ID,类型,线路名称,副标题,出发地,携程价格,天数,基础加成价,服务溢价,折扣空间,最终建议价,你的价格,评分,评论数,月销量,图片URL,标签
897,68237436,自由行,重庆5日4晚自由行,【精选核心商圈4钻/5钻酒店任意选】【精品车型经济型5座/商务7座/商务9座等等】随心所欲想停就停想走就走经典行程，纯玩无购物。,重庆出发,1310,5,3600,500元,×1.15,4700,,,,,"https://dimg04.c-ctrip.com/images/0303612000q3vs4ae41D7_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_0,y_0,g_center,5344",无购物
898,68199908,拼小团,武隆区2日1晚拼小团,『全景武隆·8人团』仙女山+天坑+地缝+芙蓉洞+芙蓉江|9点晚出发·优选2年内新车|上门接,重庆出发,757,2,1800,200元,×1.15,2300,,,,,"https://dimg04.c-ctrip.com/images/0583e12000n6zw5a913B1_C_420_420.jpg?proc=crop/m_c,w_800,h_800,x_315,y_0,CD44","0购物,成团保障,上门接"
899,72481305,私家团,重庆+彭水5日4晚私家团,暑期特惠，咨询客服立减288*【咨询客服限时赠送两江夜游船票】『苗族九黎城+乌江画廊游船+重庆经典景点打卡：行程可调』24H专车接送机/站 |1单1团,重庆出发,2764,5,8400,500元,×1.15,10200,,,,,https://dimg04.c-ctrip.com/images/0303x12000s7j6tgz9211_C_420_420.png,成团保障
900,72430106,私家团,重庆+武隆区+仙女山国家森林公园2日1晚私家团,【暑期特惠来袭】宿品质自选酒店 | 畅玩武隆奇观：地缝、天生三桥！5 座 / 7 座 / 9 座专车任选，1v1定制行程,重庆出发,1721,2,5200,200元,×1.15,6200,,,,,https://dimg04.c-ctrip.com/images/0305p12000s7j9h6t2B30_C_420_420.png,成团保障
901,68238077,自由行,重庆5日4晚自由行,【精选核心商圈4钻/5钻酒店任意选】【精品车型经济型5座/商务7座/商务9座等等】随心所欲想停就停想走就走经典行程，纯玩无购物。,重庆出发,1423,5,3900,500元,×1.15,5000,,,,,"https://dimg04.c-ctrip.com/images/0301512000r1exqe2A8A0_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_-20,y_0,g_center,373F",无购物
902,68199340,拼小团,成都+重庆+四姑娘山景区+都江堰景区5日4晚拼小团,8人内精品小团·都江堰导游讲解+四姑娘山赠氧气三宝零食包+赠两江夜游+川剧+24h接送机,重庆出发,2667,5,6500,500元,×1.15,8000,,,,,"https://dimg04.c-ctrip.com/images/0303412000e8ec4f722E0_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C","0购物,成团保障,0自费"
903,72427102,私家团,重庆+武隆区+仙女山国家森林公园3日2晚私家团,【武隆专车纯玩】畅玩武隆奇观：地缝、天生三桥！入住仙女山景区周边酒店，5 座 / 7 座 / 9 座专车任选，省心舒适，行程详情可随时咨询客服,重庆出发,2748,3,8300,300元,×1.15,9800,,,,,"https://dimg04.c-ctrip.com/images/0304012000rhw4c6n96F6_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1",成团保障
904,71266956,拼小团,重庆+成都+三星堆博物馆+四姑娘山景区+新都桥+墨石公园景区7日6晚拼小团,成渝川西8人内精致小团·必消全含·满5人升独立成团+熊猫&三星堆含导游讲解+24h接送机,重庆出发,3602,7,8800,700元,×1.15,10900,,,,,"https://dimg04.c-ctrip.com/images/0302y12000s4x1lgsF777_C_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_0,y_250,BE39","0购物,成团保障,0自费"
905,68241244,自由行,重庆4日3晚自由行,【精选核心商圈4钻/5钻酒店任意选】【精品车型经济型5座/商务7座/商务9座等等】随心所欲想停就停想走就走经典行程，纯玩无购物。,重庆出发,1169,4,3200,400元,×1.15,4100,,,,,"https://dimg04.c-ctrip.com/images/0302g12000r1ltttbC340_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1",无购物
906,70658791,私家团,重庆4日3晚私家团,五一预售！咨询【旅行管家】领【立减优惠】和更多福利！赠两江夜游船票『核心商圈4钻酒店自选』重庆打卡市内网红景点『长江索道+山城步道+龙门浩老街+洪崖洞+磁器口』不含用车,重庆出发,811,4,2400,400元,×1.15,3200,,5.0,254,254,"https://dimg04.c-ctrip.com/images/0300g12000qu4puav5EF8_R_420_420.png?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1",
907,61951575,拼小团,重庆+成都+九寨沟5日4晚拼小团,8人内精品小团+重庆自由行Citywalk·赠两江夜游船+动车九寨游+4钻酒店+24h专车接送机,重庆出发,2711,5,6600,500元,×1.15,8100,,,,,"https://dimg04.c-ctrip.com/images/0301p12000mb7y85m2D3F_C_420_420.jpg?proc=crop/m_c,w_936,h_936,x_0,y_132,3FEF","0购物,成团保障,0自费"
908,53313182,私家团,重庆2日1晚私家团,【热销-咨询客服领至高400补贴】【拒绝拼车，1单1团，私享专车】行程随调，1v1微管家，好司机保驾护航，赠儿童门票，安逸走四川，巴适又好玩,重庆出发,1411,2,4300,200元,×1.15,5100,,,,,"https://dimg04.c-ctrip.com/images/100n0p000000fz92n35E2_C_420_420.jpg?proc=crop/m_c,w_2592,h_2592,x_648,y_0,7080",成团保障
909,71206894,拼小团,重庆+成都+四姑娘山景区+新都桥+墨石公园景区6日5晚拼小团,成渝川西8人内精致小团·必消全含·满5人升独立成团+赠川剧+旅拍+三宝+氧气+24h接送机,重庆出发,2898,6,7100,600元,×1.15,8800,,,,,"https://dimg04.c-ctrip.com/images/0305h12000s4jnrzh309C_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_-1,y_-66,g_center,714C","0购物,成团保障,0自费"
910,67270237,自由行,重庆5日4晚自由行,【精选核心商圈4钻/5钻酒店任意选】【精品车型任意选经济型5座/商务7座/商务9座等等】随心所欲想停就停想走就走/经典行程，纯玩无购物/无进店,重庆出发,1175,5,3200,500元,×1.15,4200,,,,,"https://dimg04.c-ctrip.com/images/0305z12000pypsq5cABCD_R_420_420.jpg?proc=crop/m_c,w_800,h_800,x_0,y_0,g_center,3BA8",无购物
911,67765285,自由行,重庆6日5晚自由行,【精选核心商圈4钻/5钻酒店任意选】【精品车型经济型5座/商务7座/商务9座等等】随心所欲想停就停想走就走经典行程，纯玩无购物。,重庆出发,1663,6,4500,600元,×1.15,5800,,,,,"https://dimg04.c-ctrip.com/images/0300312000r0gk3fkF20C_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_13,y_-55,g_center,E20D",无购物
912,68235710,自由行,重庆5日4晚自由行,【精选核心商圈4钻/5钻酒店任意选】【精品车型经济型5座/商务7座/商务9座等等】随心所欲想停就停想走就走经典行程，纯玩无购物/无进店,重庆出发,1198,5,3200,500元,×1.15,4200,,,,,"https://dimg04.c-ctrip.com/images/0304z12000r1hncwx89F6_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_0,y_0,g_center,5344",无购物
913,67780088,跟团游,重庆+成都+乐山大佛+三星堆博物馆+成都大熊猫繁育研究基地+黄龙溪5日4晚跟团游,全程5钻·川渝双城『赠重庆两江夜游+川剧盖碗茶』携程5钻酒店｜2+1保姆车｜专车接送站,重庆出发,2004,5,4500,500元,×1.15,5700,,,,,"https://dimg04.c-ctrip.com/images/0305412000rctii6z4BDF_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1","0购物,成团保障"
914,30557563,私家团,重庆2日1晚私家团,【热销-咨询客服领至高400补贴】【拒绝拼车，1单1团，私享专车】行程随调，1v1微管家，好司机保驾护航，赠儿童门票，安逸走四川，巴适又好玩,重庆出发,1490,2,4500,200元,×1.15,5400,,,,,"https://dimg04.c-ctrip.com/images/0300j12000ro1hark4834_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261",成团保障
915,35281182,私家团,重庆+长江三峡+宜昌5日4晚私家团,美维邮轮&宿180度一线江景阳台房+重庆华美达酒店+全程中西自助餐｜长江三峡核心景区+赠三大上岸景点游览#船游巫峡+瞿塘峡+夔门,重庆出发,2713,5,8200,500元,×1.15,10000,,4.8,,31,"https://dimg04.c-ctrip.com/images/0300t12000roo4kmc902E_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261",成团保障
916,69335825,自由行,重庆+一脚踏三省地标8日7晚自由行,【精选核心商圈4钻/5钻酒店任意选】【精品车型经济型5座/商务7座/商务9座等等】随心所欲想停就停想走就走经典行程，纯玩无购物/无进店,重庆出发,3119,8,8500,800元,×1.15,10600,,,,,"https://dimg04.c-ctrip.com/images/0302j12000rmzih71CB05_R_420_420.jpg?proc=crop/m_c,w_1706,h_1706,x_0,y_-61,g_center,889C",无购物
917,67788366,跟团游,重庆+成都+九寨沟+黄龙风景名胜区+三星堆博物馆+成都大熊猫繁育研究基地6日5晚跟团游,全程5钻·川渝双城『赠重庆两江夜游+川剧盖碗茶』高铁进九寨｜2+1排头等舱｜专车接送机,重庆出发,3031,6,6800,600元,×1.15,8500,,,,,"https://dimg04.c-ctrip.com/images/0305f12000rbrke1v2740_C_420_420.jpg?proc=crop/m_c,w_900,h_900,x_0,y_270,9B9E","0购物,成团保障"
918,67185026,私家团,重庆3日2晚私家团,【热销-咨询客服领至高400补贴】【拒绝拼车，1单1团，私享专车】行程随调，1v1微管家，好司机保驾护航，赠儿童门票，安逸走四川，巴适又好玩,重庆出发,1775,3,5400,300元,×1.15,6500,,,,,"https://dimg04.c-ctrip.com/images/0303t12000qrha1g62139_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261",成团保障
919,67788099,跟团游,重庆+成都+九寨沟+黄龙风景名胜区+三星堆博物馆+成都大熊猫繁育研究基地6日5晚跟团游,全程4钻·川渝双城『赠重庆两江夜游+川剧盖碗茶』高铁奔九寨｜2+1排头等舱｜专车接送站,重庆出发,2604,6,5800,600元,×1.15,7300,,,,2,"https://dimg04.c-ctrip.com/images/0305k12000rd2s5aaA871_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1","0购物,成团保障"
920,63198760,自由行,重庆4日3晚自由行,烟火山城-江峡相拥-沉浸体验·巴渝风情浓郁『甄选重庆核心商圈三钻轻奢酒店任意您选』接机接站+行程管家服务-静谧时光来场说走就走的旅行-玩美山水之城独具魅力,重庆出发,1300,4,3500,400元,×1.15,4400,,,,,"https://dimg04.c-ctrip.com/images/0304e12000m8vemzcA903_R_420_420.jpg?proc=crop/m_c,w_800,h_800,x_0,y_0,g_center,3BA8",
921,31817916,私家团,重庆+长江三峡+恩施市8日7晚私家团,美维游轮•指定180度一线江景阳台房+自助餐+赠三景上岸游，重庆恩施包车游+赠218元西兰卡普歌舞秀，长江三峡全景+恩施大峡谷全景+1日行程自选,重庆出发,4415,8,13400,800元,×1.15,16300,,4.7,,41,"https://dimg04.c-ctrip.com/images/0303l12000rrc3er1BDF1_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_-62,g_center,3F38",成团保障
922,27323848,跟团游,重庆4日3晚跟团游,16人精致团『赠』特色小吃+两江夜游船票or73层WFC观景台2选1 Day3自由行|商圈3晚连住,重庆出发,1099,4,2400,400元,×1.15,3200,,5.0,10910,10910,https://dimg04.c-ctrip.com/images/0302p120008vqhq2b6E8E_C_420_420.png,"0购物,成团保障"
923,32534050,私家团,重庆3日2晚私家团,【热销-咨询客服领至高400补贴】【拒绝拼车，1单1团，私享专车】行程随调，1v1微管家，好司机保驾护航，赠儿童门票，安逸走四川，巴适又好玩,重庆出发,1832,3,5500,300元,×1.15,6600,,,,,"https://dimg04.c-ctrip.com/images/0306m12000ro1hl9p80BA_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_-4,y_0,g_center,1D6B",成团保障
924,61522353,跟团游,重庆+长江三峡+宜昌4日3晚跟团游,一价全含·阳台观景房『A线长航游轮长江叁号』中西自助餐·重庆登船·赠重庆市区一日游,重庆出发,5080,4,11400,400元,×1.15,13500,,,,15,"https://dimg04.c-ctrip.com/images/0304f12000l5x1fboB5FB_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_106,y_0,g_center,55C7","0购物,成团保障"
925,34352259,自由行,巫山+巫山小三峡+小小三峡2日1晚自由行,【私藏线路 走进美丽恋城】巫山小三峡+小小三峡+特惠酒店《自由随心玩&网红景点&探秘周边不二选择》家庭&亲子&差旅-纯玩0购物【7*24H旅游管家在线1对1服务】,重庆出发,288,2,700,200元,×1.15,1000,,,,1,"https://dimg04.c-ctrip.com/images/0300b120009m7tbztF7C3_R_420_420.jpg?proc=crop/m_c,w_2665,h_2665,x_-593,y_88,g_center,37CB",0购物
926,34288617,自由行,奉节+白帝城·瞿塘峡景区2日1晚自由行,【自营私藏路线·走进诗城·感受夔州城悠闲烂漫时光】【白帝城景点门票+携程5钻酒店—甄选奉节欧庭国际酒店】亲子/家庭/自驾优选不跟团更自由管家7*24H在线一对一服务,重庆出发,388,2,1000,200元,×1.15,1300,,,,,"https://dimg04.c-ctrip.com/images/0582g12000n9msvdeCBCF_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_-7,y_0,g_center,CCE5",
927,68343086,自由行,816小镇+白鹤梁水下博物馆2日1晚自由行,星光民宿/山楂民宿1晚【双人套餐】,重庆出发,170,2,400,200元,×1.15,600,,,,,"https://dimg04.c-ctrip.com/images/0302n12000r3oaiqtEBFB_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_185,y_0,g_center,185A",
928,67778144,跟团游,重庆+成都+九寨沟+黄龙风景名胜区+三星堆博物馆+成都大熊猫繁育研究基地6日5晚跟团游,全程4钻·川渝双城『赠重庆两江夜游+川剧盖碗茶』高铁进九寨｜2+1排头等舱｜专车接送站,重庆出发,2617,6,5800,600元,×1.15,7300,,,,,"https://dimg04.c-ctrip.com/images/0301k12000rct0gabFD1A_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1","0购物,成团保障"
929,69598295,私家团,重庆4日私家团,【热销-咨询客服领至高400补贴】【拒绝拼车，1单1团，私享专车】行程随调，1v1微管家，好司机保驾护航，赠儿童门票，安逸走四川，巴适又好玩,重庆出发,2158,4,6500,400元,×1.15,7900,,,,,"https://dimg04.c-ctrip.com/images/0302n12000ro1he77E508_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261",成团保障
930,69528755,私家团,重庆3日2晚私家团,【错峰出游 咨询领福利】魔幻山城City walk 网红打卡解放碑洪崖洞|李子坝|十八梯|鹅岭二厂|磁器口&3日市内纯玩包车+微管家服务+酒店随心选,重庆出发,1697,3,5100,300元,×1.15,6200,,,,,"https://dimg04.c-ctrip.com/images/0301712000in1597cBB0C_R_420_420.jpg?proc=crop/m_c,w_1666,h_1666,x_0,y_0,g_center,3659","免费退,成团保障"
931,34292132,自由行,奉节+白帝城·瞿塘峡景区+三峡之巅景区2日1晚自由行,【白帝城+瞿塘峡+三峡之巅景点门票+特惠酒店】游玩不将就【私藏路线·走进诗城·感受夔州城悠闲烂漫时光】亲子/家庭/自驾优选不跟团更自由 管家24H在线服务,重庆出发,347,2,900,200元,×1.15,1200,,,,7,"https://dimg04.c-ctrip.com/images/0306b120009lf36uy8AD7_R_420_420.jpg?proc=crop/m_c,w_1336,h_1336,x_-24,y_0,g_center,95E7",
932,67768188,跟团游,重庆+成都+九寨沟+黄龙风景名胜区+三星堆博物馆+成都大熊猫繁育研究基地6日5晚跟团游,全程5钻·川渝双城『赠重庆两江夜游+川剧盖碗茶』高铁进九寨｜2+1排头等舱｜专车接送站,重庆出发,3014,6,6700,600元,×1.15,8300,,,,,"https://dimg04.c-ctrip.com/images/0303412000rbrbpl8087C_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1","0购物,成团保障"
933,32401104,私家团,重庆4日私家团,【热销-咨询客服领至高400补贴】【拒绝拼车，1单1团，私享专车】行程随调，1v1微管家，好司机保驾护航，赠儿童门票，安逸走四川，巴适又好玩,重庆出发,2468,4,7500,400元,×1.15,9000,,,,,"https://dimg04.c-ctrip.com/images/0302n12000ro1he77E508_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261",成团保障
934,67773667,跟团游,重庆+成都+九寨沟+黄龙风景名胜区+三星堆博物馆+成都大熊猫繁育研究基地6日5晚跟团游,全程5钻·川渝双城『赠重庆两江夜游+川剧盖碗茶』高铁进九寨｜2+1排头等舱｜专车接送机,重庆出发,3032,6,6800,600元,×1.15,8500,,,,,"https://dimg04.c-ctrip.com/images/0304h12000rct0it498E2_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1","0购物,成团保障"
935,68351612,自由行,816小镇2日1晚自由行,星光民宿/山楂民宿1晚【双人套餐】,重庆出发,128,2,300,200元,×1.15,500,,,,,"https://dimg04.c-ctrip.com/images/0301e12000r3kz68t2AA6_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_-500,y_0,g_center,2E1C",
936,69572042,私家团,重庆4日3晚私家团,【渝你同行~点击领福利】限时赠送两江夜游【儿童赠文创玩偶】【舒适5座起&自选4钻口碑榜酒店】,重庆出发,1786,4,5400,400元,×1.15,6600,,,,,"https://dimg04.c-ctrip.com/images/0HJ4n12000rc73at140A8_R_420_420.jpg?proc=crop/m_c,w_4096,h_4096,x_0,y_0,g_center,E774","免费退,成团保障"
937,67780154,跟团游,重庆+成都+乐山大佛+三星堆博物馆+成都大熊猫繁育研究基地+黄龙溪6日5晚跟团游,全程4钻·川渝双城『赠重庆两江夜游+川剧盖碗茶』携程4钻酒店｜2+1保姆车｜专车接送站,重庆出发,2094,6,4700,600元,×1.15,6000,,,,2,"https://dimg04.c-ctrip.com/images/0303012000rctpbyv6DCF_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1","0购物,成团保障"
938,69542568,私家团,重庆3日2晚私家团,【错峰出游 咨询领福利】魔幻山城City walk 网红打卡解放碑洪崖洞|李子坝|十八梯|鹅岭二厂|磁器口&3日市内纯玩包车+微管家服务+酒店随心选,重庆出发,1802,3,5400,300元,×1.15,6500,,,,,"https://dimg04.c-ctrip.com/images/0301712000in1597cBB0C_R_420_420.jpg?proc=crop/m_c,w_1666,h_1666,x_0,y_0,g_center,3659","免费退,成团保障"
939,31178875,跟团游,重庆+长江三峡+宜昌6日5晚跟团游,船过葛洲坝船闸+三峡全景｜华夏邮轮江景房自助餐+重庆金牌导游+满档升头等舱+璀璨夜景,重庆出发,3043,6,6800,600元,×1.15,8500,,,,2,"https://dimg04.c-ctrip.com/images/0304r12000qlh15y23902_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261","0购物,成团保障"
940,68388979,自由行,重庆黑山谷风景区+万盛石林2日1晚自由行,懿江酒店【双人套餐】,重庆出发,160,2,400,200元,×1.15,600,,,,,"https://dimg04.c-ctrip.com/images/0302w12000r492gvi79D2_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_0,y_0,g_center,5344",
941,40821875,自由行,奉节+白帝城·瞿塘峡景区+三峡之巅景区2日1晚自由行,【私藏路线·走进诗城·感受夔州城悠闲烂漫时光】【白帝城景点门票+三峡之巅索道往返+携程5钻酒店—甄选奉节欧庭国际酒店】亲子/家庭/自驾优选不跟团更自由,重庆出发,337,2,900,200元,×1.15,1200,,,,,"https://dimg04.c-ctrip.com/images/0582g12000n9msvdeCBCF_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_-7,y_0,g_center,CCE5",
942,68390784,自由行,重庆武陵山国家森林公园2日1晚自由行,云顶楼1晚【双人套餐】,重庆出发,115,2,300,200元,×1.15,500,,,,,"https://dimg04.c-ctrip.com/images/0303y12000r49oe9rC923_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_-250,y_0,g_center,4627",
943,67782124,跟团游,重庆+成都+九寨沟+黄龙风景名胜区+三星堆博物馆+成都大熊猫繁育研究基地7日6晚跟团游,全程5钻·川渝双城『赠两江夜游+赠川剧盖碗茶+儿童赠早餐』成都高铁奔九寨｜专车接送站,重庆出发,2991,7,6700,700元,×1.15,8500,,,,,"https://dimg04.c-ctrip.com/images/0303c12000rdmn8ro1839_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1","0购物,成团保障"
944,69526122,私家团,重庆4日3晚私家团,【渝你同行~点击领福利】限时赠送两江夜游【儿童赠文创玩偶】【舒适5座起&自选5钻口碑榜酒店】,重庆出发,2203,4,6700,400元,×1.15,8100,,,,,https://dimg04.c-ctrip.com/images/0HJ2k12000rc73j2f2BBA_C_420_420.jpg,"免费退,成团保障"
945,72724541,私家团,大足区3日2晚私家团,暑期特惠咨询客服立减288*一单一团*宿口碑5钻自选酒店*【感受唐宋摩崖造像的震撼】,重庆出发,2274,3,6900,300元,×1.15,8200,,,,,"https://dimg04.c-ctrip.com/images/0304c12000s9429v90CC5_R_420_420.jpg?proc=crop/m_c,w_1572,h_1572,x_0,y_0,g_center,087F",成团保障
946,68353062,自由行,重庆仙女山国家森林公园2日1晚自由行,仙女山镇酒店1晚【双人套餐】,重庆出发,291,2,800,200元,×1.15,1100,,,,,https://dimg04.c-ctrip.com/images/0305212000s8unigi1036_C_420_420.png,
947,60059223,跟团游,宜昌+长江三峡+重庆+武隆区6日5晚跟团游,黄金邮轮·江景房自助餐+赠三景上岸游｜武隆天坑地缝全景+重庆市区20人团+三峡精华段,重庆出发,3127,6,7000,600元,×1.15,8700,,,,5,"https://dimg04.c-ctrip.com/images/0585q12000msatxoq665E_C_420_420.jpg?proc=crop/m_c,w_800,h_800,x_358,y_0,FA21","0购物,成团保障"
948,62743883,私家团,重庆+武隆区4日3晚私家团,节后错峰「降幅真的大」!咨询整单至高立减800元！【重磅升级〓打卡经典线路'天福官驿'】1日行程灵活3选1<816核工程>/<天坑+地缝>/<天坑+仙女山>,重庆出发,1925,4,5800,400元,×1.15,7100,,,,,"https://dimg04.c-ctrip.com/images/0303e12000lpkq5qfFBC8_R_420_420.jpg?proc=crop/m_c,w_1920,h_1920,x_0,y_0,g_center,6A0E",成团保障
949,60059309,跟团游,长江三峡+重庆+武隆区6日5晚跟团游,黄金邮轮·宿江景房自助餐+赠三景上岸游｜武隆天坑地缝全景+重庆20人团+长江三峡精华段,重庆出发,3238,6,7200,600元,×1.15,8900,,,,,"https://dimg04.c-ctrip.com/images/0584s12000rj0gm983F26_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261","0购物,成团保障"
950,68352187,自由行,重庆816工程景区+816小镇2日1晚自由行,星光民宿/山楂民宿1晚【双人套餐】,重庆出发,184,2,500,200元,×1.15,800,,,,,"https://dimg04.c-ctrip.com/images/0301w12000r0svg1wC08D_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_0,y_0,g_center,5344",
951,45074166,私家团,宜昌+长江三峡+重庆5日4晚私家团,7天外立减300/人｜华夏邮轮·宿180度一线江景阳台房+重庆华美达酒店｜全程中西自助餐+重庆本地司机带队#重庆四条精华线路任选&长江三峡核心精华景区,重庆出发,2964,5,9000,500元,×1.15,10900,,5.0,231,231,"https://dimg04.c-ctrip.com/images/0585312000rj1abioD066_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261",成团保障
952,37823566,跟团游,重庆+长江三峡+宜昌6日5晚跟团游,世纪邮轮&180度江景阳台房&过葛洲坝船闸+览三峡全景｜重庆金牌导游+满档升头等舱豪车,重庆出发,5405,6,12100,600元,×1.15,14600,,,,,"https://dimg04.c-ctrip.com/images/0304612000qlea4bt7E50_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261","0购物,成团保障"
953,69552844,私家团,重庆5日4晚私家团,【山城奇遇记咨询领取优惠】 全程宿舒适4钻酒店【赠】两江游船票 【赏】洪崖洞夜景>奇遇漫游山城暖春亲子慢时光,重庆出发,2297,5,7000,500元,×1.15,8600,,,,,https://dimg04.c-ctrip.com/images/0301612000ros54nf0DF9_C_420_420.png,"免费退,成团保障"
954,67781704,跟团游,重庆+成都+九寨沟+黄龙风景名胜区+三星堆博物馆+成都大熊猫繁育研究基地7日6晚跟团游,全程4钻·川渝双城『赠两江夜游+川剧盖碗茶+儿童赠早餐』九寨高铁往返成都｜专车接送站,重庆出发,3153,7,7000,700元,×1.15,8800,,,,,"https://dimg04.c-ctrip.com/images/0303p12000rdlshrrBB8F_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1","0购物,成团保障"
955,68354014,自由行,重庆涪陵沙溪温泉+白鹤梁水下博物馆+816工程景区+816小镇2日1晚自由行,星光民宿/山楂民宿【双人套餐】,重庆出发,235,2,600,200元,×1.15,900,,,,,"https://dimg04.c-ctrip.com/images/0300512000r3p9a5m58BB_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_0,y_0,g_center,5344",
956,68355183,自由行,重庆涪陵沙溪温泉+白鹤梁水下博物馆2日1晚自由行,维也纳酒店【双人套餐】,重庆出发,239,2,600,200元,×1.15,900,,,,,"https://dimg04.c-ctrip.com/images/0305412000r3phng7E838_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_205,y_0,g_center,8837",
957,68357494,自由行,重庆涪陵沙溪温泉+涪州画舫游2日1晚自由行,涪州大酒店1晚【双人套餐】,重庆出发,174,2,400,200元,×1.15,600,,,,,"https://dimg04.c-ctrip.com/images/0300t12000r3q3tfaDD3C_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_18,y_0,g_center,EA8D",
958,61541961,跟团游,重庆+长江三峡+岳阳+武汉6日5晚跟团游,新品『五星游轮总统游轮总统7号/长江贰号游历巴楚』从 3D 魔幻之城重庆到三国夏都武汉,重庆出发,4399,6,9800,600元,×1.15,11900,,4.5,,71,"https://dimg04.c-ctrip.com/images/0303t12000rmphnmzB9FE_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_0,y_0,g_center,5344","0购物,成团保障"
959,31774032,私家团,重庆+武隆区+长江三峡6日5晚私家团,黄金游轮&宿180度江景阳台房+解放碑洪崖洞酒店｜重庆武隆全景游+市区精品玩法4选1+长江三峡核心+观巫峡•瞿塘峡｜7天外船票免费退,重庆出发,3963,6,12000,600元,×1.15,14400,,,,4,https://dimg04.c-ctrip.com/images/03003120008p2fxsqB75C_C_420_420.png,"免费退,成团保障"
960,66677529,私家团,重庆+武隆区4日3晚私家团,节后错峰「降幅真的大」!咨询整单至高立减800元！<<重磅升级〓打卡经典线路'天福官驿'】专属用车&24H管家在线<<1日行程灵活3选1<816核工程><天坑+地缝><天坑+仙女山>,重庆出发,1969,4,6000,400元,×1.15,7300,,,,,"https://dimg04.c-ctrip.com/images/0300512000ozzd03b06EE_R_420_420.jpg?proc=crop/m_c,w_2160,h_2160,x_0,y_0,g_center,EE86",成团保障
961,68353486,自由行,重庆金佛山2日1晚自由行,含温泉+金佛山+金佛山天星两江假日酒店主楼1晚【双人套餐】,重庆出发,249,2,600,200元,×1.15,900,,,,,"https://dimg04.c-ctrip.com/images/0305v12000r3kp8g32477_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_0,y_0,g_center,5344",
962,22784142,拼小团,长江三峡+重庆5日4晚拼小团,三峡全景游&过葛洲坝船闸+登顶三峡大坝+西陵峡精华段，白帝城+瞿塘峡+三峡之巅精华游,重庆出发,2790,5,6800,500元,×1.15,8300,,,,,"https://dimg04.c-ctrip.com/images/0305812000mcjb7ig8C60_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261","0购物,成团保障"
